player_id,player,position,team_name,player_game_count,pass_grade,offense_grade_passing_file,pass_attempts,aimed_passes,completions,accuracy_percent,avg_depth_of_target_x,avg_time_to_throw,big_time_throws,turnover_worthy_plays,sacks_x,scrambles,rec_grade,offense_grade_receiving_file,targets,receptions,yards_x,yards_per_reception,drops,drop_rate,avg_depth_of_target_y,yards_after_catch,rush_grade,offense_grade_rushing_file,rush_attempts,yards_y,yards_after_contact,breakaway_yards,first_downs,fumbles,rush_elusive_mtf,avoided_tackles,def_grade,coverage_grade,pass_rush_grade,run_defense_grade,tackle_grade,tackles,assists,stops,sacks_y,hits,hurries,interceptions,pass_break_ups,missed_tackles,forced_fumbles,pass_grade_pct,rec_grade_pct,rush_grade_pct,def_grade_pct,coverage_grade_pct,pass_rush_grade_pct,run_defense_grade_pct,tackle_grade_pct,role_bucket,class_year,player_name,stars,industry_rating,rank_natl,rank_pos,rank_state,nil_value_usd,profile_url,source,best_score,score_gap,match_status,is_5_star,is_4_star,pff_def_or_off,recruiting_pct,performance_pct,perf_minus_recruit
175705,Jamih Otis,LB,HAWAII,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.8,67.2,59.3,45.1,41.0,15.0,24.0,1.0,2.0,5.0,1.0,0.0,14.0,2.0,,,,34.0,57.8,70.8,22.9,13.5,LB,2023.0,Jamih Otis,,81.14772727272727,,244.0,20.0,0.0,https://n.rivals.com/content/prospects/2023/jamih-otis-276070,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,10.0,34.0,24.0
175706,Elijah Palmer,CB,HAWAII,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.8,80.5,46.1,67.9,56.6,41.0,12.0,17.0,0.0,0.0,1.0,2.0,7.0,14.0,1.0,,,,94.6,95.0,1.6,67.5,34.4,DB,2023.0,Elijah Palmer,,83.41136363636365,,155.0,15.0,0.0,https://n.rivals.com/content/prospects/2023/elijah-palmer-238355,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,26.2,94.6,68.4
175744,Jayden Wilson,LB,UTEP,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,63.1,61.6,80.8,66.2,58.0,27.0,33.0,1.0,6.0,4.0,1.0,0.0,14.0,3.0,,,,87.2,66.5,49.9,91.1,47.3,LB,2023.0,Jayden Wilson,,77.38636363636364,,245.0,391.0,0.0,https://n.rivals.com/content/prospects/2023/jayden-wilson-294547,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,0.4,87.2,86.8
175863,Bray Hubbard,S,ALABAMA,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,82.6,64.9,90.4,82.7,62.0,28.0,30.0,2.0,1.0,8.0,4.0,4.0,9.0,3.0,,,,97.7,95.4,69.4,99.2,93.9,DB,2023.0,Bray Hubbard,,90.44646739130437,228.0,21.0,5.0,0.0,https://n.rivals.com/content/prospects/2023/brayson-hubbard-281081,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,79.4,97.7,18.3
175896,Kelley Jones,CB,MISS STATE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,76.8,48.5,73.1,75.5,27.0,5.0,7.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,,,,91.6,91.1,4.2,82.0,74.9,DB,2023.0,Kelley Jones,,89.68858695652175,114.0,13.0,2.0,0.0,https://n.rivals.com/content/prospects/2023/kelley-jones-293887,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,74.8,91.6,16.8
175907,Shamar McNeil,CB,MISSOURI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,61.0,,62.5,77.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,42.2,37.3,,49.1,81.9,DB,2023.0,Shamar McNeil,,86.225,,67.0,84.0,0.0,https://n.rivals.com/content/prospects/2023/shamar-mcneil-273821,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,50.9,42.2,-8.7
175936,Chantz Johnson,LB,TEXAS ST,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,47.9,73.2,59.6,47.4,3.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,,,,21.6,15.8,87.2,23.6,16.2,LB,2023.0,Chantz Johnson,,86.675,,76.0,116.0,0.0,https://n.rivals.com/content/prospects/2023/chantz-johnson-279583,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,54.1,21.6,-32.5
175941,Bravion Rogers,CB,TEXAS A&M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,64.6,57.7,69.0,80.9,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,63.3,55.5,34.0,70.5,90.9,DB,2023.0,Bravion Rogers,,94.27119565217392,180.0,19.0,32.0,0.0,https://n.rivals.com/content/prospects/2023/bravion-rogers-277598,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,93.7,63.3,-30.4
175962,Mac Resetich,S,ILLINOIS,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,54.2,55.3,57.8,32.0,13.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,,,,17.4,19.7,12.8,20.5,6.7,DB,2023.0,Mac Resetich,,84.1,,107.0,29.0,0.0,https://n.rivals.com/content/athletes/mac-resetich-302032?view=pv,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,33.0,17.4,-15.6
175991,Jordan Shaw,CB,TEXAS A&M,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1,71.0,51.4,75.1,59.1,13.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,,,,79.3,78.4,9.6,87.3,38.5,DB,2023.0,Jordan Shaw,,87.825,,70.0,49.0,0.0,https://n.rivals.com/content/prospects/2023/jordan-shaw-272447,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,61.9,79.3,17.4
